Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2012-07-26,4735661.3725,4688358.55816744,47302.8143325606,4472183.4603971,4911935.85118951,t,,,
2012-08-01,3665792.32,3985735.11811672,-319942.798116721,3772502.87156372,4218502.14182944,t,,,
2012-08-03,4551588.665,4477739.56601141,73849.0989885898,4271019.27868508,4706679.4266498,t,,,
2012-08-04,3878542.95,3948319.58437483,-69776.6343748262,3726768.28996814,4191618.43807539,t,,,
2012-08-05,3538621.4875,3651928.44166279,-113306.954162794,3429740.03351077,3869628.6331898,t,,,
2012-08-09,4526603.995,4402029.12320427,124574.871795733,4181888.87159128,4622009.50119899,t,,,
2012-08-12,3463777.43,3681837.66867697,-218060.238676968,3447062.30678038,3912123.17172809,t,,,
2012-08-13,4671299.2325,4561171.04858012,110128.183919877,4347111.74282273,4789463.04415853,t,,,
2012-08-15,4862858.11,4775523.95445011,87334.1555498913,4546134.19699187,4989437.41274106,t,,,
2012-08-16,4767801.6275,4562842.03267434,204959.594825658,4339142.0094112,4789777.06935356,t,,,
